organisasjonsnummer,navn,organisasjonsform,registreringsdatoEnhetsregisteret,antallAnsatte,forretningsadresse,stiftelsesdato,vedtektsdato,vedtektsfestetFormaal,aktivitet,links,sisteInnsendteAarsregnskap,kommune,overordnetEnhet
931648160,24/7 BYGGRENT AS,Aksjeselskap,2023-06-27,10,"Svend Foyns gate 48, 4016 STAVANGER",2023-05-11,2023-05-11,"Rengjøringsbyrå, utvendig og innvendig rengjøring og hva som har, tilknytning til dette.","Rengjøring av bygninger utvendig, vinduer og lignende.",[],,STAVANGER,nan
925178853,A. IDSØE STAVANGER AS,Aksjeselskap,2020-06-10,32,"Verksgata 3, 4013 STAVANGER",2020-04-30,2021-02-01,"Kjøp og salg samt produksjon av næringsmidler og det som herved står i, forbindelse.","Produksjon av kjøtt- og fjørfevarer samt kjøp og salg av, næringsmidler og det som herved står i forbindelse.",[],2022,STAVANGER,nan
914807077,A/S Norske Shell,Aksjeselskap,1995-03-12,464,"Løkkeveien 103, 4007 STAVANGER",1912-10-14,2014-05-23,"- Lete etter og utvinne petroleum,,  , - raffinere, distribuere og markedsføre,   petroleumsprodukter herunder kjemiske,   produkter,  , - delta i og bidra til forskning og,   utviklingsaktiviteter,  ,  - delta i eller bidra til annen nærings-,    virksomhet i tilknytning til selskapets,    virksomhet.","- Lete etter og utvinne petroleum,,  , - raffinere, distribuere og markedsføre,   petroleumsprodukter herunder kjemiske,   produkter,  , - delta i og bidra til forskning og,   utviklingsaktiviteter,  ,  - delta i eller bidra til annen nærings-,    virksomhet i tilknytning til selskapets,    virksomhet.,  - Entreprisetjenester, herunder oppføring av bygg, kjøp og salg av, tilknyttede varer og tjenester og dertil tilhørende virksomhet.,  ",[],2022,STAVANGER,nan
890046452,A2 HOLDING AS,Aksjeselskap,2006-08-10,58,"c/o Ragnhild Eielsen Wiig, Mosestien 8B, 4018 STAVANGER",2006-06-29,2011-05-13,"Eie og drive barnehage i Stavanger. Selskapet har et ideelt (ikke, økonomisk) formål. Det skal søke å sikre barna gode utviklings- og, aktivitetsmuligheter i nær forståelse med barnas hjem. Virksomheten, skal drives i samsvar med de til enhver tid gjeldende lover og, forskrifter for barnehagevirksomhet.",Bygging og drift av barnehage.,[],2022,STAVANGER,nan
928285553,A3 TRANSPORT AS,Aksjeselskap,2021-12-06,13,"Nikkelveien 8, 4313 SANDNES",2021-11-24,2022-08-12,"Transport og spedisjonsvirksomhet og hva dermed står i forbindelse,, herunder å delta eller eie andre foretak med lignende virksomhet.","Transport og spedisjonsvirksomhet og hva dermed står i forbindelse,, herunder å delta eller eie andre foretak med lignende virksomhet.",[],2022,SANDNES,nan
980430596,ACHILLES INFORMATION AS,Aksjeselskap,1999-03-01,36,"Luramyrveien 29, 4313 SANDNES",1998-12-29,2017-02-05,"Utvikle og drive informasjonsformidling og annen tjenesteyting samt å, delta i annen økonomisk virksomhet, herunder deltakelse ved, interessent-, aksjeinnskudd etc.","Utvikling av informasjonssytemer og leveranse av tilhørende tjenester, i hovedsak knyttet til anskaffelsesprosessen i større organisasjoner.",[],2022,SANDNES,nan
871547262,ACTA-IMI KIRKENS BIBELSKOLE,Forening/lag/innretning,1995-02-20,11,"Gunnar Warebergs gate 15, 4021 STAVANGER",1992-01-14,,NaN,Undervisning.,[],2022,STAVANGER,nan
913552113,ACTIVE ELEKTRO AS,Aksjeselskap,2014-04-29,30,"Brannstasjonsveien 10, 4312 SANDNES",2014-04-04,2014-04-04,"Elektro, ny installasjon, service og vedlikehold.","Elektro, ny installasjon, service og vedlikehold.",[],2022,SANDNES,nan
926956027,ADDVANT STAVANGER AS,Aksjeselskap,2021-04-16,10,"Reidar Berges gate 11, 4013 STAVANGER",2021-04-01,2023-11-08,"Regnskaps- og rådgivningstjenester, administrative tjenester, utleie, av arbeidskraft, og investeringer i tilsvarende selskaper, samt annet, som naturlig faller innunder virksomheten.","Regnskaps- og rådgivningstjenester, administrative tjenester, utleie, av arbeidskraft, og investeringer i tilsvarende selskaper, samt annet, som naturlig faller innunder virksomheten.",[],2022,STAVANGER,nan
820719972,ADRIATIC BAR OG CATERING AS,Aksjeselskap,2018-04-12,16,"Vågsgata 16A, 4306 SANDNES",2018-03-09,2018-03-09,Servering og hjemkjøring av mat og drikke.,Servering og hjemkjøring av mat og drikke.,[],2022,SANDNES,nan
