naeringskode,naeringsbeskrivelse
81.220,Utvendig rengjøring av bygninger og industriell rengjøring
10.130,Produksjon av kjøtt- og fjørfevarer
06.200,Utvinning av naturgass
88.911,Barnehager
49.410,Godstransport på vei
62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi
85.320,Videregående opplæring innen tekniske og andre yrkesfaglige studieretninger
43.210,Elektrisk installasjonsarbeid
69.201,Regnskap og bokføring
56.301,Drift av puber
69.100,Juridisk tjenesteyting
85.594,Voksenopplæringssentre
93.292,Fritidsetablissement
78.200,Utleie av arbeidskraft
71.129,Annen teknisk konsulentvirksomhet
46.630,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet"
45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler"
81.210,Rengjøring av bygninger
88.993,Arbeidstrening for ordinært arbeidsmarked
96.030,Begravelsesbyråvirksomhet og drift av kirkegårder og krematorier
09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass
52.229,Tjenester tilknyttet sjøtransport ellers
47.762,Butikkhandel med kjæledyr og fôr til kjæledyr
49.320,Drosjebiltransport
73.110,Reklamebyråer
45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler"
56.101,Drift av restauranter og kafeer
47.292,Butikkhandel med kaffe og te
47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
71.121,Byggeteknisk konsulentvirksomhet
96.020,Frisering og annen skjønnhetspleie
09.101,Boretjenester tilknyttet utvinning av råolje og naturgass
45.402,"Detaljhandel med motorsykler, deler og utstyr"
93.130,Treningssentre
71.112,Arkitekttjenester vedrørende byggverk
43.990,Annen spesialisert bygge- og anleggsvirksomhet
68.209,Utleie av egen eller leid fast eiendom ellers
62.010,Programmeringstjenester
74.101,"Industridesign, produktdesign og annen teknisk designvirksomhet"
47.241,Butikkhandel med bakervarer og konditorvarer
93.120,Idrettslag og -klubber
16.232,Produksjon av bygningsartikler
45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler"
45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler"
58.290,Utgivelse av annen programvare
01.620,Tjenester tilknyttet husdyrhold
78.100,Rekruttering og formidling av arbeidskraft
47.722,Butikkhandel med reiseeffekter av lær og lærimitasjoner og varer av lær
88.999,Andre sosialtjenester uten botilbud
10.710,Produksjon av brød og ferske konditorvarer
56.210,Cateringvirksomhet
27.900,Produksjon av annet elektrisk utstyr
96.090,Personlig tjenesteyting ikke nevnt annet sted
41.109,Utvikling og salg av egen fast eiendom ellers
41.101,Boligbyggelag
27.200,Produksjon av batterier og akkumulatorer
85.201,Ordinær grunnskoleundervisning
74.102,Grafisk og visuell kommunikasjonsdesign
46.693,Engroshandel med maskiner og utstyr til industri ellers
41.200,Oppføring av bygninger
31.020,Produksjon av kjøkkenmøbler
85.599,Annen undervisning ikke nevnt annet sted
47.772,Butikkhandel med gull- og sølvvarer
43.320,Snekkerarbeid
47.591,Butikkhandel med møbler
74.103,"Interiørarkitekt, interiørdesign og interiørkonsulentvirksomhet"
46.739,Engroshandel med byggevarer ikke nevnt annet sted
47.599,Butikkhandel med innredningsartikler ikke nevnt annet sted
43.120,Grunnarbeid
49.311,Rutebiltransport i by- og forstadsområde
49.392,Turbiltransport
94.110,Næringslivs- og arbeidsgiverorganisasjoner
47.761,Butikkhandel med blomster og planter
43.911,Blikkenslagerarbeid på tak
47.593,"Butikkhandel med kjøkkenutstyr, glass og steintøy"
70.220,Bedriftsrådgivning og annen administrativ rådgivning
56.102,Drift av gatekjøkken
85.609,Andre tjenester tilknyttet undervisning
46.210,"Engroshandel med korn, råtobakk, såvarer og fôrvarer"
72.190,Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk
47.259,Butikkhandel med drikkevarer ellers
46.750,Engroshandel med kjemiske produkter
10.820,"Produksjon av kakao, sjokolade og sukkervarer"
55.101,"Drift av hoteller, pensjonater og moteller med restaurant"
47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg
46.520,Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt deler
18.120,Trykking ellers
01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster"
47.789,Butikkhandel ikke nevnt annet sted
86.230,Tannhelsetjenester
94.910,Religiøse organisasjoner
87.102,Somatiske sykehjem
43.341,Malerarbeid
32.500,Produksjon av medisinske og tanntekniske instrumenter og utstyr
06.100,Utvinning av råolje
71.200,Teknisk prøving og analyse
47.242,Butikkhandel med sukkervarer
47.730,Butikkhandel med apotekvarer
29.310,Produksjon av elektrisk og elektronisk utstyr til motorvogner
46.510,"Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare"
49.420,Flyttetransport
03.211,Produksjon av matfisk og skalldyr i hav- og kystbasert fiskeoppdrett
68.310,Eiendomsmegling
94.991,Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted
27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler
74.902,Modellbyråvirksomhet
47.710,Butikkhandel med klær
86.905,Klinisk psykologtjeneste
91.030,Drift av historiske steder og bygninger og lignende severdigheter
69.202,Revisjon
56.290,Kantiner drevet som selvstendig virksomhet
46.494,Engroshandel med sportsutstyr
46.390,Engroshandel med bredt utvalg av nærings- og nytelsesmidler
71.122,Geologiske undersøkelser
47.650,Butikkhandel med spill og leker
94.200,Arbeidstakerorganisasjoner
90.012,Utøvende kunstnere og underholdningsvirksomhet innen scenekunst
43.342,Glassarbeid
10.110,Bearbeiding og konservering av kjøtt
10.910,Produksjon av fôrvarer til husdyrhold
23.410,Produksjon av keramiske husholdningsartikler og dekorasjonsgjenstander
25.120,Produksjon av dører og vinduer av metall
23.630,Produksjon av ferdigblandet betong
90.020,Tjenester tilknyttet underholdningsvirksomhet
46.740,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr"
63.110,"Databehandling, datalagring og tilknyttede tjenester"
93.110,Drift av idrettsanlegg
08.120,"Utvinning fra grus- og sandtak, og utvinning av leire og kaolin"
43.221,Rørleggerarbeid
53.200,Andre post- og budtjenester
79.903,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet"
22.190,Produksjon av gummiprodukter ellers
58.110,Utgivelse av bøker
64.920,Annen kredittgivning
93.291,Opplevelsesaktiviteter
88.103,Eldresentre
43.223,Ventilasjonsarbeid
85.530,Trafikkskoleundervisning
46.310,Engroshandel med frukt og grønnsaker
43.330,Gulvlegging og tapetsering
33.150,Reparasjon og vedlikehold av skip og båter
28.250,"Produksjon av kjøle- og ventilasjonsanlegg, unntatt til husholdningsbruk"
25.620,Bearbeiding av metaller
93.190,Andre sportsaktiviteter
79.902,Guider og reiseledere
17.290,Produksjon av varer av papir og papp ellers
47.300,Detaljhandel med drivstoff til motorvogner
28.229,Produksjon av løfte- og håndteringsutstyr ellers
90.031,Selvstendig kunstnerisk virksomhet innen visuell kunst
38.320,Sortering og bearbeiding av avfall for materialgjenvinning
88.996,Asylmottak
74.300,Oversettelses- og tolkevirksomhet
47.641,Butikkhandel med sportsutstyr
29.200,Produksjon av karosserier og tilhengere
10.890,Produksjon av næringsmidler ikke nevnt annet sted
75.000,Veterinærtjenester
46.499,Engroshandel med husholdningsvarer og varer til personlig bruk ikke nevnt annet sted
35.210,Produksjon av gass
46.410,Engroshandel med tekstiler og utstyrsvarer
86.211,Allmenn legetjeneste
46.692,Engroshandel med skipsutstyr og fiskeredskap
25.990,Produksjon av metallvarer ikke nevnt annet sted
82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted
82.300,"Kongress-, messe- og utstillingsvirksomhet"
85.510,Undervisning innen idrett og rekreasjon
33.200,Installasjon av industrimaskiner og -utstyr
46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers"
30.116,Innrednings- og installasjonsarbeid utført på borerigger og moduler
91.013,Drift av arkiver
77.390,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted
85.310,Videregående opplæring innen allmennfaglige studieretninger
46.471,Engroshandel med møbler
36.000,"Uttak fra kilde, rensing og distribusjon av vann"
46.330,"Engroshandel med meierivarer, egg, matolje og -fett"
87.901,Institusjoner innen barne- og ungdomsvern
84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
