orgnr,role,company_name,company_orgnr,last_changed
931648160,Regnskapsfører,VISTNES REGNSKAP AS,979296126,2023-06-27
925178853,Revisor,FORUS REVISJON AS,986352945,2020-06-10
925178853,Regnskapsfører,"SPAREBANK 1 SR-BANK', 'FORRETNINGSPARTNER AS",990945748,2020-07-16
914807077,Revisor,ERNST & YOUNG AS,976389387,2016-07-01
890046452,Revisor,KPMG AS,935174627,2016-04-01
890046452,Regnskapsfører,PBL REGNSKAP AS,988954691,2015-02-27
928285553,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2023-09-15
928285553,Regnskapsfører,VIEW LEDGER AS,987260335,2021-12-06
980430596,Revisor,BAKER TILLY GRIMSRUD & CO. ANS,948315963,2023-12-18
980430596,Regnskapsfører,BDO AS,993606650,2016-02-05
871547262,Revisor,ERGA REVISJON AS,980024679,2020-12-07
871547262,Regnskapsfører,KNIF REGNSKAP AS,974476495,2018-12-17
913552113,Revisor,CREDO REVISJON AS,996105709,2015-03-18
913552113,Regnskapsfører,TOTAL ØKONOMISTYRING SANDNES AS,927591464,2023-03-02
913552113,Regnskapsfører,BDO AS,993606650,2023-03-02
926956027,Revisor,REVISJON RYFYLKE AS,983549896,2021-06-08
820719972,Regnskapsfører,"[""HC'S ØKONOMI & REGNSKAP AS""]",958893655,2018-04-12
915965091,Revisor,REVISJON VEST AS,982519411,2015-09-23
915965091,Regnskapsfører,AMANDA REGNSKAP AS,916569742,2021-12-28
927408236,Revisor,DELOITTE AS,980211282,2021-07-29
927408236,Regnskapsfører,OPK AS,920387470,2023-09-14
926048309,Revisor,BDO AS,993606650,2020-11-27
926048309,Regnskapsfører,PROPLAN REGNSKAP AS,896896482,2020-11-27
885556922,Revisor,BDO AS,993606650,2023-02-14
885556922,Regnskapsfører,KJEDEREGNSKAP OG RÅDGIVNING AS,999221394,2023-09-19
979918984,Revisor,BDO AS,993606650,2023-09-12
979918984,Regnskapsfører,DATAPLAN ALPHA AS,896861042,2023-07-31
979918984,Regnskapsfører,KJELL HAVER REGNSKAPSSERVICE AS,947214489,2023-07-31
979918984,Regnskapsfører,INTERTRUST ACCOUNTING (NORWAY) AS,997421035,2023-07-31
887504822,Revisor,KPMG AS,935174627,2007-04-21
887504822,Regnskapsfører,SPAREBANK 1 REGNSKAPSHUSET SMN AS,936285066,2019-01-16
969044854,Revisor,KPMG AS,935174627,2018-01-09
969044854,Regnskapsfører,PBL REGNSKAP AS,988954691,2018-09-25
828413902,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2023-11-20
828413902,Regnskapsfører,VEKSTRA FJORD REKNESKAP AS,920679919,2024-02-08
946295566,Revisor,RSM NORGE AS,982316588,2018-07-04
925769371,Revisor,"STATSAUTORISERT REVISOR KENNETH', 'SENLAND",995982226,2021-03-16
925769371,Regnskapsfører,TOTAL ØKONOMISTYRING STAVANGER AS,924507543,2022-05-05
925769371,Regnskapsfører,TOTAL ØKONOMISTYRING SANDNES AS,927591464,2022-05-05
914750210,Revisor,REVISJON VEST AS,982519411,2017-02-10
980126684,Revisor,REVISJON 1 AS,988623512,2005-12-14
980126684,Regnskapsfører,RANDABERG REGNSKAP AS,988980315,2023-06-29
918260315,Revisor,DELOITTE AS,980211282,1998-12-09
918260315,Regnskapsfører,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2023-12-22
918260315,Regnskapsfører,ECIT BUSINESS PARTNER AS,987605073,2023-12-22
888846832,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2010-09-25
885396062,Regnskapsfører,12I ØKONOMI AS,925413224,2023-08-09
811593362,Revisor,ERNST & YOUNG AS,976389387,2020-01-22
964111723,Revisor,ERNST & YOUNG AS,976389387,2020-01-22
944271430,Revisor,ERGA REVISJON AS,980024679,2020-12-07
890592392,Regnskapsfører,ROGALAND TAXI AS,966167599,2010-03-09
929796004,Revisor,ERNST & YOUNG AS,976389387,2024-02-13
928228096,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2022-09-27
928228096,Regnskapsfører,RELEVANT REGNSKAP AS,919828129,2021-12-22
930108219,Revisor,KALLESTEN REVISJON OG REGNSKAP AS,951499072,2022-12-22
915345662,Revisor,DELOITTE AS,980211282,2015-05-06
915345662,Regnskapsfører,"SPAREBANK 1 SR-BANK', 'FORRETNINGSPARTNER AS",990945748,2023-04-17
926838148,Revisor,IDSØ & RAVNÅS REVISJON AS,989048732,2023-06-06
926838148,Regnskapsfører,NUMBERS AS,919948329,2021-03-22
925777080,Revisor,ERNST & YOUNG AS,976389387,2020-10-12
925777080,Regnskapsfører,REMA 1000 NORGE AS,982254604,2020-10-12
980538613,Revisor,BDO AS,993606650,2022-01-11
980538613,Regnskapsfører,VIEW LEDGER AS,987260335,2022-05-03
926398954,Regnskapsfører,KJELL HAVER REGNSKAPSSERVICE AS,947214489,2024-01-15
926398954,Regnskapsfører,PRO-SJEKT REGNSKAP AS,983898033,2024-01-15
921983549,Revisor,TJEMSLAND REVISJON & RÅDGIVNING AS,930216976,2023-06-19
921983549,Regnskapsfører,ROTT REGNSKAP OG RÅDGIVNING AS,984313667,2022-01-07
934361156,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2006-10-05
912421163,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2013-09-16
968145843,Revisor,PRICEWATERHOUSECOOPERS AS,987009713,2007-12-17
926768123,Revisor,FORUS REVISJON AS,986352945,2021-03-10
926768123,Regnskapsfører,RELEVANT REGNSKAP AS,919828129,2021-03-10
918316760,Revisor,FORUS REVISJON AS,986352945,2017-01-04
