orgnr,role,personal_number
931648160,Daglig leder,9425213
931648160,Styre,9425213
931648160,Styre,9309448
925178853,Daglig leder,8784399
925178853,Styre,1340941
925178853,Styre,8784399
914807077,Daglig leder,7520676
914807077,Styre,8781308
914807077,Styre,4566245
914807077,Styre,5585906
914807077,Styre,3793255
914807077,Styre,8993175
914807077,Styre,7124822
914807077,Styre,8149076
914807077,Styre,1181588
914807077,Styre,7675714
914807077,Styre,8335427
914807077,Styre,1654617
914807077,Styre,4233260
890046452,Kontaktperson,6979628
890046452,Styre,2364716
890046452,Styre,6821018
890046452,Styre,6979628
890046452,Styre,3151776
928285553,Daglig leder,6151404
928285553,Styre,9829950
928285553,Styre,6151404
928285553,Styre,1987519
928285553,Styre,3112072
980430596,Daglig leder,6510806
980430596,Styre,6090850
980430596,Styre,6510806
871547262,Daglig leder,4056520
871547262,Styre,6279396
871547262,Styre,4168100
871547262,Styre,4256978
871547262,Styre,2779147
871547262,Styre,6658170
913552113,Daglig leder,5625183
913552113,Styre,5571319
913552113,Styre,8292580
913552113,Styre,2238815
913552113,Styre,9092224
913552113,Styre,3970859
926956027,Daglig leder,5410512
926956027,Styre,4166986
926956027,Styre,5410512
926956027,Styre,9309009
926956027,Styre,9770551
820719972,Daglig leder,8849253
820719972,Styre,8849253
820719972,Styre,2880829
915965091,Kontaktperson,8637885
915965091,Styre,8637885
915965091,Styre,5805349
915965091,Styre,2154975
915965091,Styre,1611658
927408236,Daglig leder,5532987
927408236,Styre,9264093
927408236,Styre,8835629
927408236,Styre,9272169
927408236,Styre,6980830
927408236,Styre,1684402
927408236,Styre,9359216
926048309,Daglig leder,7405182
926048309,Styre,7966229
926048309,Styre,9517328
926048309,Styre,8089908
926048309,Styre,1128745
926048309,Styre,2706450
926048309,Styre,9469590
885556922,Daglig leder,6571487
885556922,Styre,5720167
885556922,Styre,2868729
979918984,Daglig leder,8208435
979918984,Styre,9018035
979918984,Styre,7765806
887504822,Daglig leder,4871415
887504822,Styre,7825563
887504822,Styre,2747497
969044854,Daglig leder,8945253
969044854,Styre,6296308
969044854,Styre,1082957
969044854,Styre,7317127
969044854,Styre,5497043
969044854,Styre,7874806
969044854,Styre,5424937
969044854,Styre,5926689
828413902,Daglig leder,8724277
828413902,Styre,8724277
946295566,Daglig leder,3561486
946295566,Styre,8304438
946295566,Styre,9151474
946295566,Styre,4302632
946295566,Styre,6784255
925769371,Daglig leder,2032660
925769371,Styre,2032660
914750210,Daglig leder,6796169
914750210,Styre,2075291
914750210,Styre,5093553
980126684,Daglig leder,1361574
980126684,Styre,6255739
980126684,Styre,7084286
980126684,Styre,1361574
918260315,Daglig leder,5886268
918260315,Styre,4827827
918260315,Styre,7668022
918260315,Styre,6310185
918260315,Styre,5467058
918260315,Styre,4708664
918260315,Styre,8194342
918260315,Styre,3131129
918260315,Styre,2067410
918260315,Styre,1470618
918260315,Styre,1926873
918260315,Styre,2096206
888846832,Daglig leder,9747807
888846832,Styre,5231538
888846832,Styre,8724876
888846832,Styre,1940807
885396062,Daglig leder,4768178
885396062,Styre,6843072
885396062,Styre,4768178
811593362,Daglig leder,6205510
811593362,Styre,9193225
811593362,Styre,3961759
811593362,Styre,6205510
964111723,Daglig leder,6059507
964111723,Styre,6798247
964111723,Styre,6059507
964111723,Styre,6613124
964111723,Styre,9038286
964111723,Styre,6119260
964111723,Styre,3961759
964111723,Styre,2084952
964111723,Styre,9535826
964111723,Styre,1921577
964111723,Styre,9355736
944271430,Daglig leder,2592770
944271430,Styre,2592770
944271430,Styre,4608476
944271430,Styre,7371834
890592392,Innehaver,3116472
929796004,Daglig leder,2718678
929796004,Styre,5331920
929796004,Styre,9562122
929796004,Styre,7781206
929796004,Styre,2036086
929796004,Styre,3196510
928228096,Daglig leder,4804325
928228096,Styre,4804325
928228096,Styre,2348376
930108219,Daglig leder,3648147
930108219,Styre,3648147
915345662,Kontaktperson,1525383
915345662,Styre,9519510
915345662,Styre,1525383
926838148,Daglig leder,4259207
926838148,Styre,4259207
925777080,Daglig leder,6520278
925777080,Styre,6520278
980538613,Daglig leder,4231206
980538613,Styre,9536491
980538613,Styre,7179865
980538613,Styre,3687831
980538613,Styre,7818267
980538613,Styre,7003281
980538613,Styre,5778798
926398954,Daglig leder,6633786
926398954,Styre,5189225
926398954,Styre,6633786
926398954,Styre,3571933
926398954,Styre,1576538
926398954,Styre,4389889
921983549,Styre,5018694
921983549,Styre,8843312
934361156,Daglig leder,1479995
934361156,Styre,1178215
934361156,Styre,1479995
934361156,Styre,2524224
934361156,Styre,9867010
934361156,Styre,8279346
934361156,Styre,6587374
934361156,Styre,8383705
934361156,Styre,2761123
934361156,Styre,8034648
912421163,Daglig leder,1995643
912421163,Styre,2823543
912421163,Styre,1995643
912421163,Styre,1389621
968145843,Daglig leder,4437082
968145843,Styre,1178215
968145843,Styre,8988271
968145843,Styre,9540964
968145843,Styre,4437082
968145843,Styre,1389621
968145843,Styre,6116587
968145843,Styre,4361680
968145843,Styre,6449809
968145843,Styre,7945078
926768123,Daglig leder,2405312
926768123,Styre,4501616
926768123,Styre,8132321
926768123,Styre,2910087
918316760,Daglig leder,7802906
918316760,Styre,9821396
918316760,Styre,2236262
918316760,Styre,7802906
918316760,Styre,2633592
979221215,Daglig leder,8689994
979221215,Styre,8689994
979221215,Styre,9787341
932295040,Daglig leder,7145039
932295040,Styre,6812880
932295040,Styre,7145039
932295040,Styre,9431864
932295040,Styre,1193593
878666372,Daglig leder,4256978
878666372,Styre,8362293
878666372,Styre,7458259
878666372,Styre,4770631
878666372,Styre,7341560
948232464,Daglig leder,5248131
948232464,Styre,3222207
948232464,Styre,6491776
948232464,Styre,8615518
948232464,Styre,5248131
948232464,Styre,1606541
948232464,Styre,3959412
915728669,Daglig leder,6662279
915728669,Styre,6662279
915728669,Styre,3127297
968455265,Daglig leder,4793883
968455265,Styre,3848791
968455265,Styre,7467586
968455265,Styre,5086863
927733293,Daglig leder,4942707
927733293,Styre,4942707
828855832,Daglig leder,4562227
828855832,Styre,8865843
828855832,Styre,6374676
915074294,Daglig leder,7789830
